RESULT,SCORE,PATH
FAILURE,1,"left,right,middle,middle,left,right"
FAILURE,1,"left,right,middle,middle,middle,left"
FAILURE,1,"left,right,middle,middle,middle,middle"
FAILURE,1,"left,right,middle,middle,middle,right"
FAILURE,1,"left,right,middle,middle,right,left"
FAILURE,1,"left,right,middle,middle,right,middle"
FAILURE,1,"left,right,middle,middle,right,right"
FAILURE,1,"left,right,middle,right,left,left"
FAILURE,1,"left,right,middle,right,left,middle"
FAILURE,1,"left,right,middle,right,left,right"
FAILURE,1,"left,right,middle,right,middle,left"
FAILURE,1,"left,right,middle,right,middle,middle"
FAILURE,1,"left,right,middle,right,middle,right"
FAILURE,1,"left,right,middle,right,right,left"
FAILURE,1,"left,right,middle,right,right,middle"
FAILURE,1,"left,right,middle,right,right,right"
FAILURE,1,"left,right,right,left,left,left"
FAILURE,1,"left,right,right,left,left,middle"
FAILURE,1,"left,right,right,left,left,right"
FAILURE,1,"left,right,right,left,middle,left"
FAILURE,1,"left,right,right,left,middle,middle"
FAILURE,1,"left,right,right,left,middle,right"
FAILURE,1,"left,right,right,left,right,left"
FAILURE,1,"left,right,right,left,right,middle"
FAILURE,1,"left,right,right,left,right,right"
FAILURE,1,"left,right,right,middle,left,left"
FAILURE,1,"left,right,right,middle,left,middle"
FAILURE,1,"left,right,right,middle,left,right"
FAILURE,1,"left,right,right,middle,middle,left"
FAILURE,1,"left,right,right,middle,middle,middle"
FAILURE,1,"left,right,right,middle,middle,right"
FAILURE,1,"left,right,right,middle,right,left"
FAILURE,1,"left,right,right,middle,right,middle"
FAILURE,1,"left,right,right,middle,right,right"
FAILURE,1,"left,right,right,right,left,left"
FAILURE,1,"left,right,right,right,left,middle"
FAILURE,1,"left,right,right,right,left,right"
FAILURE,1,"left,right,right,right,middle,left"
FAILURE,1,"left,right,right,right,middle,middle"
FAILURE,1,"left,right,right,right,middle,right"
FAILURE,1,"left,right,right,right,right,left"
FAILURE,1,"left,right,right,right,right,middle"
FAILURE,1,"left,right,right,right,right,right"
FAILURE,6,"middle,left,left,left,left,left"
FAILURE,5,"middle,left,left,left,left,middle"
FAILURE,5,"middle,left,left,left,left,right"
FAILURE,4,"middle,left,left,left,middle,left"
FAILURE,4,"middle,left,left,left,middle,middle"
FAILURE,4,"middle,left,left,left,middle,right"
FAILURE,4,"middle,left,left,left,right,left"
FAILURE,4,"middle,left,left,left,right,middle"
FAILURE,4,"middle,left,left,left,right,right"
FAILURE,6,"middle,left,left,middle,left,left"
FAILURE,5,"middle,left,left,middle,left,middle"
FAILURE,5,"middle,left,left,middle,left,right"
FAILURE,4,"middle,left,left,middle,middle,left"
FAILURE,4,"middle,left,left,middle,middle,middle"
FAILURE,4,"middle,left,left,middle,middle,right"
